URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/498/stats/16641,UMass Lowell,America East,1,,,0,19,10,9,,1,7,,
https://stats.ncaa.org/team/391/stats/16641,UNC Asheville,Big South,2,2,2,6,24,12,18,,1,11,,
https://stats.ncaa.org/team/368/stats/16641,UNC Greensboro,SoCon,1,1,1,3,10,3,18,,2,3,,
https://stats.ncaa.org/team/456/stats/16641,UNCW,CAA,2,3,3,9,10,4,27,,6,17,,
https://stats.ncaa.org/team/459/stats/16641,UNI,MVC,2,6,2,14,48,18,10,,,8,,
https://stats.ncaa.org/team/460/stats/16641,UNLV,Mountain West,1,3,2,8,11,5,9,,2,3,1,1
https://stats.ncaa.org/team/504/stats/16641,USC Upstate,Big South,1,2,1,5,15,5,7,,1,2,,
https://stats.ncaa.org/team/465/stats/16641,UT Martin,OVC,2,,,0,25,11,23,,3,15,,
https://stats.ncaa.org/team/10411/stats/16641,Utah,Big 12,1,2,2,6,13,5,15,,2,6,,
https://stats.ncaa.org/team/695/stats/16641,Utah St.,Mountain West,1,4,6,14,19,8,12,,1,4,,
https://stats.ncaa.org/team/704/stats/16641,Utah Tech,WAC,1,1,1,3,5,1,9,,2,6,,
https://stats.ncaa.org/team/536/stats/16641,Utah Valley,WAC,2,7,9,23,50,24,22,,2,10,1,1
https://stats.ncaa.org/team/706/stats/16641,UTEP,CUSA,,,,0,,,,,,,,
https://stats.ncaa.org/team/732/stats/16641,UTRGV,Southland,1,,,0,9,4,10,,1,8,,
https://stats.ncaa.org/team/731/stats/16641,UTSA,AAC,2,3,2,8,45,22,21,,3,14,1,1
https://stats.ncaa.org/team/30095/stats/16641,Valparaiso,MVC,1,3,1,7,16,6,10,,,7,1,1
https://stats.ncaa.org/team/30024/stats/16641,Vanderbilt,SEC,1,,,0,7,4,13,,,2,,
https://stats.ncaa.org/team/740/stats/16641,VCU,Atlantic 10,1,1,,2,10,6,9,,,9,,
https://stats.ncaa.org/team/741/stats/16641,Vermont,America East,1,2,1,5,9,4,7,,2,,,
https://stats.ncaa.org/team/735/stats/16641,Villanova,Big East,2,4,4,12,27,14,11,,1,8,,
https://stats.ncaa.org/team/736/stats/16641,Virginia,ACC,2,4,1,9,33,13,12,,1,11,1,1
https://stats.ncaa.org/team/738/stats/16641,Virginia Tech,ACC,2,6,7,19,38,15,16,,1,24,,1
https://stats.ncaa.org/team/739/stats/16641,VMI,SoCon,2,2,,4,10,3,19,,1,3,1,1
https://stats.ncaa.org/team/746/stats/16641,Wagner,NEC,2,,,0,11,5,12,,1,6,,
https://stats.ncaa.org/team/742/stats/16641,Wake Forest,ACC,2,2,3,7,42,18,25,,4,21,,
https://stats.ncaa.org/team/748/stats/16641,Washington,Big Ten,1,,,0,15,4,9,,,6,,
https://stats.ncaa.org/team/749/stats/16641,Washington St.,WCC,1,,,0,7,3,11,,2,1,,
https://stats.ncaa.org/team/756/stats/16641,Weber St.,Big Sky,2,2,2,6,24,11,13,,1,5,,
https://stats.ncaa.org/team/754/stats/16641,West Ga.,ASUN,1,,,0,5,1,19,,3,2,,
https://stats.ncaa.org/team/758/stats/16641,West Virginia,Big 12,2,7,7,21,35,17,23,,1,14,1,2
https://stats.ncaa.org/team/768/stats/16641,Western Caro.,SoCon,2,6,3,15,30,17,26,,,7,,
https://stats.ncaa.org/team/769/stats/16641,Western Ill.,OVC,2,1,1,3,9,4,17,,2,3,,
https://stats.ncaa.org/team/771/stats/16641,Western Ky.,CUSA,1,1,,2,11,7,7,,,3,,
https://stats.ncaa.org/team/772/stats/16641,Western Mich.,MAC,1,3,6,12,31,14,14,,,6,,
https://stats.ncaa.org/team/774/stats/16641,William & Mary,CAA,1,1,1,3,20,7,9,,,7,,
https://stats.ncaa.org/team/786/stats/16641,Winthrop,Big South,1,,,0,13,4,5,,,4,,
https://stats.ncaa.org/team/792/stats/16641,Wisconsin,Big Ten,1,,,0,17,6,10,,1,12,,1
https://stats.ncaa.org/team/796/stats/16641,Wofford,SoCon,2,3,2,8,20,9,28,,1,7,,
https://stats.ncaa.org/team/2915/stats/16641,Wright St.,Horizon,1,,,0,6,3,6,,,3,,
https://stats.ncaa.org/team/810/stats/16641,Wyoming,Mountain West,1,,,0,15,6,12,,2,3,,
https://stats.ncaa.org/team/811/stats/16641,Xavier,Big East,2,7,6,20,36,11,19,,2,10,1,1
https://stats.ncaa.org/team/812/stats/16641,Youngstown St.,Horizon,1,2,1,5,8,4,16,,2,1,1,1
https://stats.ncaa.org/team/817/stats/16641,,,,,,,,,,,,,,
